sigma_rate,exp_b,beta
0.7713344,1.9677927,2.4411936
0.9170353,1.8370831,2.4939535
0.7518314,1.9322368,2.4276404
0.98244274,2.0013633,2.44651
0.8720455,2.0313842,2.4584877
0.94964516,1.727663,2.5370436
0.7772032,2.0740404,2.4386387
0.7433042,1.9414083,2.30395
0.94845486,1.8403343,2.5307298
0.75132906,1.8903728,2.5019648
0.7454487,1.975768,2.4091656
0.86543524,1.9348347,2.4723969
0.87200415,1.8235273,2.4823687
0.7282813,1.9982907,2.3465374
0.8916089,1.8678563,2.479738
0.90154445,1.847547,2.3895934
0.9428302,2.0080988,2.5544088
0.72506726,1.9490628,2.3634079
0.7450077,1.9697205,2.4028218
0.84466076,1.9360926,2.4524338
0.8961151,2.063906,2.411746
0.8063131,1.7623472,2.4486382
0.81937075,1.8467451,2.4864209
0.8403367,1.9353764,2.394355
0.7231047,1.8881629,2.471937
0.7647347,1.9652146,2.400025
0.8095086,1.671964,2.36191
0.82810116,1.823171,2.4226139
0.8351009,1.8698295,2.4591875
0.9930193,1.9782,2.428079
0.84334135,1.8858376,2.504706
0.70750916,1.9568673,2.3828158
0.66876006,2.087167,2.3645225
0.77409124,1.8895625,2.381375
0.7818501,1.9158524,2.4529836
0.884812,2.0278256,2.4064307
0.8189248,1.8826865,2.4596906
1.0039519,1.9093109,2.51467
0.74911904,1.6953502,2.3910902
0.83545285,1.9005078,2.4037995
0.8323502,1.8542477,2.4945943
0.75341856,2.037097,2.4419158
0.7253243,1.8737732,2.4593751
0.7492817,2.0719345,2.443543
0.8768473,2.0177422,2.3933847
0.82998574,1.9932848,2.439761
0.87692463,2.1568832,2.3834777
0.8091207,1.8043022,2.5485198
0.9350439,1.8625495,2.4242296
0.8065329,1.9424905,2.4129744
0.8154449,1.8722086,2.4896924
0.9043639,1.8678553,2.340609
1.009813,1.9114538,2.4832969
0.71092165,1.9703729,2.5134041
0.82673717,1.8790442,2.4366395
0.84706956,1.8980527,2.4631674
0.8721927,1.6936189,2.4135232
0.6795286,2.0582035,2.342658
0.98951864,1.9221288,2.438228
0.8244513,1.8742194,2.390234
0.67637527,1.7413491,2.3959794
0.9969788,1.7200875,2.5395625
0.88062984,2.1312635,2.461096
0.8958622,2.0658336,2.476153
0.8053936,1.8620824,2.4505942
0.7688884,1.9114035,2.4427972
0.8713675,1.9691657,2.399833
0.9267607,2.0214515,2.5090425
0.75629926,1.9880506,2.4233627
0.80803317,1.9294962,2.4987502
0.8476988,1.7467518,2.462647
0.8014505,2.074175,2.34185
0.81568664,1.969633,2.414463
0.901524,2.2104762,2.4130707
0.87149537,1.9709854,2.4309485
0.8964468,1.8392341,2.5153062
0.7880084,1.788781,2.3617342
0.7294382,2.1378086,2.340559
0.86900264,1.9006025,2.5584576
0.9366654,2.2589335,2.3898087
0.8281456,1.9585288,2.5068974
0.93336785,1.8260972,2.3743486
0.8433532,2.1254468,2.4699578
0.81965405,2.143819,2.380601
0.8925706,2.0545664,2.5011497
0.9642891,1.7997642,2.558822
0.79181105,1.9150114,2.475655
0.7915565,1.7968991,2.4232938
0.9876644,1.8078269,2.568195
0.7682717,1.9630834,2.4175932
0.93542975,1.6394838,2.5564575
1.017032,1.9555339,2.445258
0.9037913,1.876082,2.4522612
0.9781806,2.0356603,2.379305
0.7910176,2.1780202,2.3693395
0.91694087,1.8289937,2.416753
0.8563011,2.0915093,2.3280134
0.833725,1.89299,2.4623487
0.79493296,1.94914,2.503136
0.8131437,2.035565,2.4794416
0.9418107,1.7830377,2.539212
0.70193744,2.0545642,2.3227975
0.806945,1.9627187,2.335417
0.78907216,1.7272475,2.452435
0.84243196,1.9309818,2.340508
0.9626082,2.014576,2.3895605
0.8547353,1.8601005,2.4354818
0.80583644,1.8358539,2.5175252
0.891551,2.0408676,2.5134745
0.6237116,1.724625,2.4126477
0.7750653,1.9706887,2.400245
0.92444825,2.0183804,2.430035
0.809731,1.7743988,2.557035
0.6810786,1.785392,2.4498243
0.8709069,1.8053055,2.4856815
1.0039772,1.9446974,2.5016809
0.8234895,1.895624,2.522453
0.7827453,1.8046457,2.3987494
0.78967375,2.0384328,2.3053684
0.822309,1.8464618,2.4699957
0.8443066,1.943902,2.4089956
0.8401397,1.7082441,2.4112399
0.8280637,2.1537628,2.315829
0.8224734,1.7405477,2.4886968
0.8607934,1.9831167,2.3839579
0.83677304,1.8135321,2.5374331
0.9155532,1.8523136,2.5314448
0.81395966,1.7567723,2.4167366
0.8935786,1.882026,2.3993475
0.8494191,1.8723086,2.3697202
0.54906195,2.0261085,2.3023465
0.8977708,1.9826025,2.4730868
0.7723488,2.0549505,2.4257944
0.9004348,1.975973,2.4317155
0.9196946,1.7826996,2.3842974
0.7453165,1.795284,2.4183505
0.8222735,1.7613174,2.4634962
0.8486018,1.9295543,2.3314207
0.72435987,1.8881391,2.449203
1.0186503,1.9961932,2.4372044
0.8183122,1.9796916,2.4847684
0.8244788,1.8562175,2.5142567
0.86709607,1.8265523,2.5431042
0.9643682,2.0728598,2.4905696
0.6203971,1.997064,2.3866527
0.854271,1.9433994,2.39734
0.7381906,1.6418948,2.4827938
0.8313745,2.0052865,2.5193741
1.0181303,1.7334177,2.4892545
0.9634196,1.7901423,2.5077085
0.94158,2.011147,2.4737499
0.7854236,2.1411686,2.3710127
0.8441576,2.1054027,2.3405936
0.69100624,1.966336,2.3933284
0.8024697,1.8007625,2.4645793
0.7424018,1.7724828,2.4333723
0.8638434,1.791629,2.427587
0.80052394,1.9969541,2.3569431
0.7511523,1.9222833,2.3207574
0.8367421,1.9870898,2.375652
0.94382423,2.0447707,2.4273489
0.8429531,1.9542823,2.3722243
0.74128574,1.9873462,2.370276
0.6847323,2.0754366,2.4696646
0.97652996,1.8468912,2.5072305
0.9819342,1.8593817,2.6697009
0.7171101,1.9732792,2.4613216
0.69685477,2.1754,2.2917674
0.8526897,1.6870182,2.4996667
0.8155958,1.9220929,2.365369
0.70829946,1.7957013,2.3642128
0.91209906,2.0236742,2.3609312
0.86236894,1.9012306,2.487718
0.8625895,2.053266,2.519085
0.80987257,1.8164504,2.56727
0.7766184,1.9308386,2.4707265
0.83312696,2.1385844,2.4917548
0.7512524,1.7608107,2.380428
0.74049395,2.1663291,2.405646
0.71811604,2.1195707,2.2989411
0.84404874,2.0578785,2.4123285
0.9751862,2.158914,2.4481535
0.68435276,1.898967,2.4144075
0.7925914,1.8526267,2.5258846
0.8501932,1.9303441,2.4021769
0.7763347,2.0508542,2.370204
0.85044676,1.7841301,2.5090787
0.87792355,1.9323314,2.4003797
0.7197689,2.1133068,2.2948754
0.7935725,1.9853373,2.3803396
0.82284945,1.9206305,2.4369783
0.8097017,1.8097273,2.4400604
0.96239156,1.8527128,2.4959733
0.7809757,1.7626373,2.467497
0.7238554,2.0298555,2.3862104
0.9186466,1.8375596,2.4785266
0.8697083,1.8026856,2.3850403
0.8112845,1.8640295,2.4794066
0.8331434,1.8619004,2.4256568
0.89030474,1.9300263,2.5099142
0.7641177,1.9099444,2.4566576
0.8586271,2.0716379,2.3910651
0.86222565,1.7842247,2.5320873
0.8461609,2.173597,2.381302
1.019702,1.920443,2.3088648
0.7779037,1.8629649,2.3457305
0.94236374,1.9939753,2.373945
0.8232254,1.9174045,2.4391484
0.75724053,1.8622147,2.441964
0.75478464,2.1693504,2.3606138
0.7592915,2.0004423,2.4584303
0.93019027,1.9285834,2.4549587
0.9074445,1.9813371,2.4228199
0.9151577,2.031496,2.5270405
0.79704523,1.9375911,2.4570408
0.7887183,1.6927466,2.4630766
0.68995786,2.0045772,2.3669376
0.78164124,1.896039,2.379652
0.7845423,1.8994737,2.4432101
0.7832042,1.7633189,2.356416
0.86846006,1.8940133,2.433155
0.85889274,1.9482114,2.4316466
0.8930491,2.0931404,2.3970218
0.80396444,1.8576202,2.433266
0.809054,1.8561122,2.409291
0.80463386,1.6914504,2.4846394
0.7235642,2.0445406,2.3523064
0.774413,1.8489999,2.4743092
0.90289193,2.017586,2.409085
0.99219066,1.7970679,2.4719443
0.86649996,1.8645616,2.509775
0.8147664,2.0115569,2.4212425
0.7865486,1.7352968,2.4451957
0.8901675,1.9053445,2.4612684
0.91274655,1.5557239,2.5484722
0.8392005,1.8886086,2.4765127
0.80633825,1.9991246,2.326345
0.8458005,1.9594018,2.4686387
0.9287505,1.6829593,2.5458431
0.8539249,2.132517,2.44428
0.6800557,1.8009651,2.4502993
0.7710754,2.104561,2.4111543
0.8603425,1.7922082,2.4421277
0.9344363,2.1398423,2.4237409
0.8465749,1.7516352,2.3925183
0.89930385,1.9315852,2.5201247
0.8028498,1.9529642,2.4428544
0.6843254,1.9271185,2.3586113
0.9635284,1.9416025,2.3881981
0.81380075,2.0374641,2.3706203
0.72036195,2.0216753,2.3353536
0.82582235,1.7772901,2.5168703
0.9618358,2.0301104,2.384583
0.94954765,1.742839,2.4651616
0.8936486,1.9880633,2.3555908
0.7792309,1.9873315,2.514871
0.8757327,1.7946904,2.5316234
0.90994525,1.8168218,2.3990982
0.8717254,1.8419994,2.5112355
0.8538822,1.7196226,2.4742975
0.8739857,1.8191614,2.4044044
0.76372623,1.5839634,2.4346888
0.9077915,1.6231377,2.5019965
0.827527,1.8964792,2.429317
0.84121037,2.0576174,2.331007
0.7830715,1.7691246,2.411956
0.8615888,2.1627994,2.3447294
0.83496666,1.9734288,2.3559802
1.0327452,1.791394,2.5275502
0.93718666,2.1734984,2.4171505
0.8673866,1.9745609,2.3798127
0.74181336,1.9725566,2.3239958
0.90915555,2.0564404,2.507947
0.83812964,1.8230428,2.3750386
0.80583847,1.7223418,2.5422146
0.9171314,1.9243706,2.4357145
0.76204747,1.8589795,2.3845394
0.7759761,1.8795645,2.4368868
0.94647765,1.6797957,2.5181136
0.85441196,1.8232095,2.472706
0.7200894,1.9891511,2.3727868
0.8659204,1.99678,2.507612
0.82363653,2.00876,2.2990592
0.6622587,2.0534215,2.389489
0.88701695,1.7982826,2.4130683
0.8888374,1.9536892,2.3712835
0.80733246,1.9877237,2.3925009
0.87302667,1.8900468,2.4404924
1.0032138,1.8698299,2.5568643
0.76294833,1.7384391,2.47307
0.88200533,1.8417953,2.5323105
0.8325135,1.9662886,2.408495
0.8509746,1.8406981,2.5042298
0.79563034,1.782257,2.4159336
0.72623545,1.9449058,2.3863807
0.80982256,2.0265226,2.470424
0.9728787,1.7619399,2.5175912
0.8876943,1.8617458,2.4460454
0.6739054,1.8305912,2.3560476
0.67557067,1.8682808,2.3828979
0.83032966,1.9780602,2.357832
0.7694366,2.0989313,2.3842454
0.83558965,1.7309939,2.4060848
0.7718761,1.7956953,2.4032695
0.89624983,1.904047,2.4048717
0.9269344,2.069285,2.3688843
0.895616,2.0061772,2.4354863
0.88070726,2.1534576,2.411819
0.8537439,2.022265,2.3618505
0.884215,1.8956549,2.4966571
0.73189455,1.8338941,2.4625008
0.96413016,1.881673,2.3849952
0.8924517,1.7734008,2.5435677
0.82977724,2.0144324,2.3645897
0.84835535,1.9639615,2.3136537
0.7689263,1.9958907,2.2392082
0.8928302,1.7731556,2.4679694
0.79606986,1.7778518,2.4635863
0.7494555,1.8721445,2.3642528
0.8991416,2.0923774,2.4599113
0.90398264,2.0752118,2.3460114
