sigma_rate,exp_b,beta
1.1483396,1.6829277,2.3193333
1.1494346,1.6269574,2.2999485
1.1272475,1.6343461,2.3098323
1.2472507,1.6488485,2.3061137
1.143031,1.5649422,2.3255367
1.1593019,1.6710232,2.250713
1.2531804,1.5838132,2.4253194
1.1273804,1.7440338,2.4390755
1.177369,1.5292618,2.2140567
1.0906628,1.6163988,2.4198089
1.1583208,1.65596,2.3766365
1.1376696,1.6343787,2.325863
1.2343645,1.7380792,2.2408283
1.2938285,1.3747785,2.3538227
1.1520145,1.7724676,2.335864
1.2158948,1.6237315,2.3730428
1.1910213,1.5628563,2.4649856
1.0801234,1.6591575,2.401551
1.1557024,1.6449801,2.3604815
1.0567288,1.8357959,2.4074755
1.1351918,1.7179577,2.4436936
1.1354104,1.6781006,2.3016427
1.1298645,1.6299472,2.3164403
1.1915809,1.6808348,2.259154
1.1838219,1.7349226,2.2827384
1.2141491,1.6657578,2.366794
1.3282537,1.5097039,2.2301822
1.1565402,1.6908294,2.3131766
1.108775,1.8021902,2.4391656
1.1488672,1.7167271,2.3438952
1.210871,1.756857,2.3370657
1.1856263,1.7637308,2.3653793
1.1823199,1.6210809,2.3245153
1.0659497,1.6612023,2.4067395
1.1982529,1.6772227,2.3618233
1.1104194,1.6774993,2.348805
1.1077605,1.7424229,2.281744
1.2818965,1.5621333,2.285874
1.2033566,1.6969124,2.176896
1.1486901,1.7790807,2.293125
1.1508062,1.5587882,2.2852113
1.1071169,1.5415239,2.365667
1.1328652,1.7042174,2.363515
1.1913347,1.7010099,2.3676302
1.1136764,1.8022044,2.4273262
1.0791383,1.6385926,2.4337952
1.1892347,1.6951619,2.3277748
1.252164,1.6531826,2.2148256
1.237468,1.5307685,2.350596
1.1641496,1.6419723,2.3561914
1.2349541,1.5551441,2.2638288
1.0678599,1.7359006,2.4184391
1.022739,1.8040371,2.3831627
1.1235087,1.6813473,2.4004486
1.235005,1.7399153,2.3060424
1.0836446,1.63307,2.340103
1.1781294,1.6543411,2.3245342
1.1437988,1.6659969,2.3557286
1.0896851,1.768978,2.394052
1.1669488,1.4659677,2.4337628
1.0880208,1.6947534,2.242639
1.0979048,1.5682874,2.2988229
1.2333384,1.727767,2.3356314
1.1538491,1.6371111,2.3718448
1.1722755,1.7731373,2.2870479
1.2017658,1.6661383,2.3819742
1.2471803,1.49619,2.273408
1.2304277,1.5431354,2.4578805
1.2184831,1.5757946,2.3833013
1.2202991,1.7127955,2.3263578
1.2450194,1.5592039,2.2767224
1.2230453,1.648764,2.2383142
1.177376,1.7282786,2.3156369
1.0643716,1.6837634,2.4047313
1.186936,1.7574581,2.3196282
1.1486115,1.669986,2.3120213
1.1528529,1.581917,2.3829613
1.0499073,1.7620606,2.3390663
1.1829349,1.4430195,2.3701665
