sigma_rate,exp_b,beta
0.027046133,2.218012,2.925188
-0.07745963,2.6259525,2.9917996
-0.088839546,2.8729255,3.1708887
0.053605102,2.3956635,2.9411666
0.00596858,2.6810772,2.9713514
0.017984698,2.0725682,2.9519079
0.03055523,2.520635,2.9893558
-0.054644853,2.4761767,3.0211987
0.028208904,2.6510487,3.02008
-0.012366583,2.5467355,2.8052785
-0.019622706,2.1745892,2.8308892
0.032353975,2.2716289,2.920001
0.09386228,2.551942,2.8957474
-0.036754623,2.4225395,3.0874987
-0.006480477,2.4282215,2.873957
0.1033672,2.503136,3.0119848
-0.06259907,2.5489874,2.9656217
0.00819667,2.6551862,2.9004078
0.07259724,2.592237,3.0220149
0.060477097,2.4712172,2.9448068
0.084069446,2.4077005,3.0176575
0.050391696,2.7087002,2.9395218
-0.04763732,2.3271196,2.9791775
0.04122416,2.3867908,2.935873
-0.025033746,2.4159408,2.8970923
0.022596989,2.6921518,2.9579499
0.03784723,2.2427204,2.9582589
0.066929735,2.3133097,2.990202
-0.049895473,2.3688703,2.9904904
0.02014553,2.3582158,2.866291
-0.015540403,2.543554,3.007276
-0.008074504,2.6574662,2.9500635
-0.08022232,2.7960587,2.9213784
0.032980658,2.4758034,3.0275853
-0.085454695,2.476475,2.9662075
-0.09093073,2.2600904,3.0098605
-0.01752976,2.5767035,2.9211953
-0.0316927,2.5685616,2.8291595
0.026697598,2.4543953,2.9824557
0.0031372113,2.7444587,2.8462613
0.091267765,2.5502338,2.9485364
-0.0033604847,2.6319857,2.939667
-0.035788346,2.5733807,3.0345378
0.054487817,2.3967345,2.9987187
0.045609333,2.5627067,3.0005713
0.03857376,2.4109967,2.9624655
0.037385456,2.5566182,2.8969364
-0.022526313,2.2584133,2.9864209
0.06381904,2.5744097,2.9516828
-0.03244674,2.4515224,2.9331388
-0.016437836,2.4828477,2.9357295
0.018930553,2.3527744,3.0156176
-0.008200056,2.3810265,2.911834
0.11793671,2.3967621,2.9719317
-0.032671567,2.149314,2.8767319
-0.02514216,2.614762,2.8717582
0.016266618,2.5965407,2.9630103
-0.06005311,2.2736287,2.8863845
0.013820166,2.4919097,2.9685984
0.07803053,2.5142665,2.9842346
-0.06611599,2.5159137,3.0534148
0.07322742,2.4660363,2.9264827
0.11745233,2.622429,3.0321743
-0.05106558,2.6562314,2.8883018
0.06704762,2.2476993,2.894319
0.08936424,2.571334,2.9361937
-0.017662559,2.2156167,3.0094352
0.04430994,2.4505374,3.046705
-0.036256216,2.5566094,2.9643347
0.0472752,2.356417,2.8496797
0.021435231,2.5368204,2.9433956
-0.029286131,2.2221658,2.9402828
0.03630894,2.4529877,2.990796
-0.020408772,2.4184463,2.9400578
0.09407297,2.3018696,2.9385655
0.035947524,2.420047,2.8623521
-0.02682186,2.2203171,2.9609895
-0.00639253,2.519333,3.041082
0.10139704,2.5845094,3.065267
-0.03937465,2.4402401,2.9790432
