sigma_rate,exp_a,exp_b,beta
0.22239989,-1.1016672,0.8819028,2.6308947
0.32750365,-1.1308423,0.7400056,2.5502155
0.32266575,-1.1026597,0.7804014,2.4446726
0.30836597,-1.049425,0.75695837,2.5929387
0.37363154,-0.8701008,1.1106484,2.6046004
0.3725586,-1.0336508,0.7190223,2.5987213
0.3623255,-1.0533822,0.96047413,2.393122
0.27389386,-1.0693204,0.9401044,2.5066142
0.3088954,-0.98695356,1.0192653,2.5390341
0.29083806,-0.95825005,0.9540812,2.7120936
0.36015573,-1.028587,0.8408941,2.497319
0.37788954,-1.0246032,0.6644289,2.3621955
0.3488045,-1.0976412,0.7790549,2.4722054
0.34804156,-0.9803713,0.9167086,2.5432436
0.2730957,-1.1612164,0.6545723,2.5717173
0.38136223,-1.0253788,0.95407224,2.5170438
0.31278673,-0.986138,0.93153125,2.5823376
0.30091634,-1.0016237,0.9972266,2.5937204
0.37011978,-1.0522013,0.60831624,2.3820758
0.31536016,-1.0085822,0.9076774,2.4960427
0.33898672,-0.99215674,1.2814494,2.444673
0.29787862,-1.0836757,1.0773394,2.448347
0.3181072,-0.9969377,0.9613332,2.4774222
0.34027562,-1.0915647,0.8397967,2.4819853
0.38653898,-1.0799854,0.8302964,2.593043
0.2242153,-1.0178248,0.7948331,2.4646332
0.34805351,-0.9961695,0.90057975,2.4831252
0.33340442,-1.0059211,0.6118071,2.4375198
0.29217744,-0.9978812,0.64502645,2.5129945
0.2914425,-1.0316226,0.9076076,2.5996485
0.38606504,-1.0276998,0.8782769,2.6008039
0.3787526,-1.0042601,0.92469656,2.5805693
0.3422721,-0.92458653,0.8408187,2.411063
0.37739465,-1.0674343,0.81378955,2.4632967
0.294688,-1.1013336,0.6556683,2.5757139
0.2813817,-1.081291,0.88912916,2.6009126
0.32107145,-1.0487896,0.7852154,2.4371097
0.24043939,-1.0389999,0.67033833,2.4698877
0.2767124,-0.9401788,1.1716256,2.634014
0.2653998,-1.0566521,0.9313101,2.6560042
0.30016375,-0.96928996,0.8237227,2.4812214
0.40663522,-1.0781043,0.7422422,2.5661354
0.24257421,-1.1566635,0.9305211,2.4399066
0.32521242,-1.0732262,0.8006636,2.6003115
0.32388502,-1.1227784,0.7309623,2.3063111
0.3591172,-0.9419565,1.0225457,2.5261426
0.35475132,-1.0523849,0.8911794,2.4545846
0.3184535,-1.1561478,0.8257659,2.527203
0.33252084,-1.1286675,0.746598,2.4987955
0.28103814,-0.93950415,0.9622559,2.7095602
0.31178713,-1.0808924,0.9101138,2.5024784
0.34740844,-0.94699967,0.9445555,2.5540118
0.3745374,-1.0462737,0.9382004,2.3972855
0.27268037,-1.0222669,0.9196223,2.7167315
0.3758091,-1.0685415,0.96133745,2.488918
0.34003225,-1.0135689,0.9781164,2.5756571
0.3362125,-0.92766756,0.6483403,2.5622468
0.31640044,-1.076896,1.2208737,2.5702682
0.29793498,-0.9899822,1.0920155,2.5571241
0.25698745,-1.0663003,0.8989295,2.47703
0.35779917,-1.0764877,0.643532,2.3947773
0.3399473,-0.9867733,0.9299481,2.6757627
0.2724735,-1.1085945,1.0161043,2.3701704
0.28293025,-1.0334057,0.7924104,2.6311474
0.30110303,-1.0875715,0.6629447,2.4174008
0.31728643,-0.9649058,0.94664484,2.5249321
0.34991527,-1.2075307,0.96996164,2.4158008
0.31951335,-1.0215706,0.7785496,2.455668
0.3648899,-1.1008012,0.93491745,2.5267875
0.30323914,-0.95167875,0.8845102,2.6946404
0.28830063,-1.0191314,0.7725318,2.4798782
0.293598,-1.0546796,1.0186241,2.5773263
0.37448674,-0.8791939,0.8904894,2.5560782
0.36225292,-1.094783,0.94063103,2.4349113
0.3084338,-1.0675231,0.9904361,2.453071
0.27132884,-1.0445102,0.83996356,2.5054843
0.31250784,-1.0517374,0.6406786,2.357604
0.32475948,-1.0554088,1.1045556,2.552568
0.24373177,-0.98109925,0.77264416,2.7830226
0.2623549,-0.98925924,0.7837653,2.5871308
0.30707368,-1.030449,0.9583598,2.5959167
0.3412565,-0.96449804,0.73518705,2.5882561
0.30511287,-1.0960631,0.9608556,2.568454
0.30166745,-0.9344669,0.82833886,2.5774124
0.29058433,-1.0234157,1.1193123,2.507537
0.29336715,-0.946215,0.96563447,2.6145184
0.35806632,-1.0394884,0.7395198,2.3775458
0.26574787,-1.0266012,0.8940856,2.6476266
0.3053826,-1.0357231,0.7783731,2.6055949
0.25867322,-1.0496639,0.7863224,2.5131617
0.31789935,-1.0177426,1.0768646,2.5037584
0.38991964,-0.98211575,0.827754,2.5408647
