sigma_rate,exp_b,beta
0.0328767,2.7205782,2.9496977
0.04983993,2.9471505,3.0245783
-0.084684506,2.5789437,2.8526347
0.0639251,2.9787738,2.9473202
0.05190041,2.6245763,3.0107076
-0.031670094,2.4260333,2.9489372
-0.036791433,2.8163462,2.8954816
-0.012874524,2.654617,2.9718904
-0.004179595,2.6630175,2.967634
-0.08132209,2.588858,3.00569
-0.066071846,2.5069606,2.8851705
0.021343427,2.7497568,2.975418
-0.03182254,2.7873206,2.9266012
-0.10396522,2.6204274,2.9208694
-0.051477026,2.7588453,3.036599
0.008181805,2.9514189,3.069883
-0.093844816,2.5735648,2.8017278
0.02103926,2.5343328,2.9104745
-0.052131295,2.559298,2.9865913
0.055320725,2.6133924,2.9915583
-0.09512655,2.6659112,2.8771555
-0.060214818,2.7651126,2.954297
-0.111112885,2.3581178,2.9053397
-0.013333896,2.6408494,2.9227254
0.014770197,2.5717347,2.8979323
-0.09185795,2.7017374,2.9253528
0.008513438,2.806384,3.0209744
0.008664323,2.6795847,2.9351025
-0.08616948,2.3496876,2.8955228
0.036446333,2.7702444,2.9131112
-0.022682792,2.5244787,2.9347687
0.019706672,2.662524,2.8270068
-0.0028015226,2.6655493,3.006868
0.033916764,2.6932802,3.0062797
-0.057679318,2.7284176,2.9104822
0.025426062,2.8831694,2.98356
-0.031140089,2.7354362,2.9087822
0.063987166,2.7504497,2.9147394
-0.07266437,2.5575964,2.8113935
0.013209445,2.7741442,3.0264344
-0.019428609,2.8330088,2.9916134
-0.09581355,2.8375773,2.9097593
-0.08545966,2.6519644,2.894321
-0.10657969,2.3585153,2.893966
-0.006482603,2.6252224,2.8899415
0.021768177,2.7457128,2.9676528
-0.10235514,2.5008595,2.8046248
-0.12122095,2.5603015,2.7549047
-0.053962238,2.5925756,2.8692622
-0.021237133,2.7968967,2.9231424
-0.115236394,2.462724,2.8911777
0.012284322,2.7740154,3.0166306
-0.03121173,2.7341135,2.899754
-0.124921426,2.6497202,2.8648539
0.0026095398,2.66912,2.9498672
-0.030742098,2.6300151,2.8769476
0.022371883,2.732715,2.9831805
-0.05932343,2.5830238,2.933018
-0.06798103,2.483293,2.9182386
-0.0814334,2.675983,3.0166826
0.05234866,2.68003,3.0280666
-0.028065432,2.567957,2.9305296
-0.01731437,2.3823323,2.973313
0.03892248,2.7325602,2.9396377
-0.09239717,2.4721937,2.819078
-0.0452569,2.5653756,2.8910587
-0.055408813,2.2774663,2.929532
-0.038445983,2.969283,2.9672155
-0.09609286,2.5493927,2.7497551
-0.013927184,2.8181024,2.9203398
0.053974897,2.9197493,2.9139547
-0.076276265,2.647725,2.9149377
-0.06363428,2.657685,2.8469877
0.00052523986,2.8769274,2.979783
-0.035290014,2.7232754,2.901064
0.04538299,2.606325,3.0541973
0.009330722,2.7253833,2.926143
-0.009611823,2.741587,2.8743045
-0.043533858,2.6145654,2.9610016
-0.000557458,2.4796236,2.8541346
-0.028327845,2.7534626,2.9083738
-0.029485174,3.2004292,3.041656
0.06960442,2.8523269,2.9658077
-0.0925551,2.3591232,2.8635094
-0.03646905,2.7002337,2.9538012
-0.006488355,2.7440376,2.9525454
-0.030348122,2.6924038,3.026248
-0.09758231,2.554539,2.8342288
-0.068560205,2.3977122,2.8943253
-0.089113325,2.6798663,2.9119275
-0.015107211,2.3220403,2.9329512
-0.05978629,2.7178607,2.9783432
-0.05467648,2.617079,2.964646
-0.013081955,2.6125865,2.9600043
0.006204894,2.753319,2.9329495
0.04690382,2.9844134,3.0787501
-0.005698286,2.7319486,2.9579716
-0.0758968,2.481795,2.8358464
0.07811456,2.8312545,2.9705431
0.05381292,2.7670105,2.9667637
-0.049874537,2.7798986,2.9027383
-0.033752255,2.7742743,2.9876826
-0.02651514,2.5063071,2.92761
-0.021754388,2.7906177,3.0489295
0.011809675,2.8296375,3.063858
-0.0074625704,2.7750967,2.861963
0.018181061,2.4587374,2.8747337
-0.0013992488,2.7041914,2.964878
0.014097547,2.8728178,2.8913436
0.13467692,2.7608697,2.979975
-0.0784212,2.4531925,2.8677092
-0.065111,2.4578853,2.9221992
0.024686178,2.945777,2.9545984
0.021815391,2.8823256,3.0399697
0.0078115035,2.5261574,2.9060895
-0.042577796,2.56356,2.9427156
-0.06634609,2.574825,2.8174489
-0.025740944,2.619754,2.8300986
0.052095532,2.6536925,2.9735768
-0.0027747322,2.4829068,2.8999271
-0.09338796,2.4550028,2.8516793
0.021369504,2.8264792,2.9229765
-0.011226799,2.6233394,3.007912
-0.072103135,2.5958686,2.8082044
-0.042233303,2.58856,2.957205
0.009191712,2.8887885,3.034003
-0.048891716,2.5757663,3.0091755
0.015413841,2.8298519,2.9439545
