sigma_rate,exp_a,exp_b,beta
1.1323912,0.38530612,1.753194,2.4176955
1.1082102,0.41343567,1.5602114,2.4238021
1.1370927,0.38278076,1.5969175,2.3729486
1.0853041,0.40939325,1.6242422,2.3888414
1.1245266,0.37316382,1.7373976,2.4727461
1.1212636,0.3511101,1.7800729,2.3778136
1.0608166,0.32119444,1.7056112,2.351618
1.1161413,0.3565069,1.7843556,2.4631362
1.119694,0.42447865,1.667956,2.3987143
1.0944062,0.40302,1.7026806,2.4117634
1.1393678,0.30994794,1.8433911,2.3339021
1.0783285,0.3033561,1.6618605,2.3479369
1.1035273,0.3190749,1.8595175,2.358659
1.138463,0.37709236,1.7282333,2.446287
1.1226977,0.40570253,1.6059988,2.397305
1.1158929,0.44446748,1.6626629,2.408423
1.0836676,0.35233468,1.6752877,2.4384022
1.135141,0.45841032,1.5597762,2.435495
1.1015164,0.38491383,1.5263952,2.4020188
1.1288853,0.46900398,1.5485609,2.3219783
1.1054862,0.42431736,1.7277617,2.3916247
1.0648642,0.28004217,1.7830018,2.3632295
1.1124624,0.32794273,1.7009691,2.433449
1.1145027,0.29207066,1.8177271,2.411832
1.1001121,0.4275766,1.6385924,2.486708
1.1172,0.41091484,1.6877091,2.4309175
1.1139296,0.38276294,1.708922,2.3544466
1.102537,0.44806188,1.7157506,2.3814578
1.1335305,0.27762622,1.7016184,2.3276706
1.1439414,0.27738047,1.7247517,2.2887318
1.1224489,0.30368155,1.684058,2.4024796
1.0803888,0.41144842,1.662036,2.4637318
1.1115127,0.44961882,1.5781971,2.5171342
1.0834492,0.35878468,1.6537038,2.3341303
1.1044598,0.34602982,1.709433,2.3755414
1.0786233,0.42812383,1.5369562,2.5050404
1.0766792,0.3056783,1.6740243,2.3979342
1.0835013,0.2852301,1.6207777,2.376321
1.1330884,0.41416383,1.5791414,2.3699372
1.1282939,0.39405707,1.7906733,2.511029
1.0873082,0.293831,1.8472129,2.4154413
1.1487808,0.40252125,1.6557037,2.3530848
1.0759101,0.34455785,1.6655252,2.3651745
1.1163813,0.39644742,1.7067083,2.3566074
1.0766625,0.35671392,1.615559,2.4077733
1.1035924,0.29356694,1.8059049,2.356221
1.0756143,0.29344338,1.6913191,2.3934746
1.107978,0.4290563,1.6806661,2.4493206
1.1359662,0.381824,1.7455537,2.5184119
1.0994662,0.40163594,1.6838733,2.3799443
1.0649086,0.33439982,1.7335987,2.4396849
1.1200407,0.35064876,1.6485763,2.4000201
1.1277208,0.26080546,1.7389032,2.347806
1.0847065,0.41094366,1.5614046,2.3919625
1.0999799,0.28744015,1.7527957,2.396441
1.1306707,0.28885362,1.6734612,2.3738964
1.1033037,0.37875432,1.658451,2.4238849
1.0741174,0.40734646,1.6902179,2.4799423
1.0908306,0.3770109,1.6981822,2.4540002
1.1118882,0.4026847,1.699342,2.4518247
1.0767488,0.31543955,1.7460939,2.3382883
1.0961612,0.38745645,1.7359405,2.369678
1.1139615,0.33404237,1.7225605,2.4119291
1.1226604,0.38103363,1.7845926,2.4560623
